Nomor Asset Utama;Profit Center;Profit Center Text;Cost Center Baru;Deskripsi Cost Center Baru;Nama Cabang/Kawasan;Kode Plant;Periode/Bulan;Tahun Buku;Nomor Asset Asal;Nomor Asset;Sub-number;GL Account Aset;Asset Class;Asset Class Name;Deskripsi Kelompok Aset;Deskripsi Status Aset Tetap;Asset Main No. Text;Akuisisi;Keterangan Asset;Tgl Akusisi;Tgl Perolehan;Tgl Mulai Penyusutan;Masa Manfaat;Sisa Manfaat Aset;Nilai Perolehan Awal Tahun;Nilai Residu %;Nilai Residu Rp;Nilai Perolehan s.d Tahun Berjalan;Adjusment Nilai Perolehan;Nilai Buku Awal Tahun;Nilai Buku s.d Tahun Berjalan;Penyusutan/Bulan;Penyusutan s.d Bulan Berjalan;Penyusutan Tahun Lalu;Penyusutan/Tahun;Akumulasi Penyusutan Tahun Lalu;Adjusment Akm Penyusutan;Penghapusan;Asset Shutdown;Akumulasi Penyusutan;Additional Description;Serial number;Alamat;GL Account Exp. Depre.
120401000001-0;12201;REGION JATIM;1220105511;SubDiv of Prprty&Oth;Sub Regional Jawa Timur;1020;12;2025;;120401000001;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/3346323081;0;Tanah Luas 2.035.458 M2 (HPL No: 1/K, GS: 5727);31/12/1998;31/12/1998;31/01/1999;0;0;2.098.596.761;0,00000000000;0;2.098.596.761;0;2.098.596.761;2.098.596.761;0;0;0;0;0;0;0;;0;241.01.006092200;;Daerah Lainnya;5040101000
120401000002-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;;120401000002;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/43177970;0;Tanah Pelabuhan Luas 27.070 M2;31/12/1998;31/12/1998;31/01/1999;0;0;43.177.970;0,00000000000;0;43.177.970;0;43.177.970;43.177.970;0;0;0;0;0;0;0;;0;241.01.00202415315300;;Pt Semen Gresik/Kel.Sidorukun;5040101000
120401000003-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;;120401000003;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/109524024;0;Tanah Pelabuhan Luas 88.220 M2;31/12/1998;31/12/1998;31/01/1999;0;0;109.524.024;0,00000000000;0;109.524.024;0;109.524.024;109.524.024;0;0;0;0;0;0;0;;0;241.01.00202515415400;;Pt.Nusantara Plywood/K.Hendro;5040101000
120401000004-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;120401000005;120401000004;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/185068724;0;Tanah Pelabuhan Luas 127.980 M2 (HPL No 11);01/12/1993;31/12/1998;31/01/1999;0;0;1.848.808.724;0,00000000000;0;1.848.808.724;0;1.848.808.724;1.848.808.724;0;0;0;0;0;0;0;;0;241.01.00202615515500;;Pt.Sm Indah Plywood/Krgkiring;5040101000
120401000006-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;120401000006;120401000006;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/120030000;0;Tanah Reklamasi;27/04/2022;01/01/1993;01/02/1993;0;0;2.557.246.100;0,00000000000;0;2.557.246.100;0;2.557.246.100;2.557.246.100;0;0;0;0;0;0;0;;0;241.01.00203917117100;;Gresik;5040101000
120401000007-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;;120401000007;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/1089837100;0;Tanah Urugan Dip;01/09/1994;01/09/1994;01/10/1994;0;0;1.089.837.100;0,00000000000;0;1.089.837.100;0;1.089.837.100;1.089.837.100;0;0;0;0;0;0;0;;0;241.01.00204417617600;;Gresik;5040101000
120401000008-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;120401000008;120401000008;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/1541042493;0;Urugan Tanah Dip;27/04/2022;01/01/1998;01/02/1998;0;0;2.995.429.693;0,00000000000;0;1.850.637.741;0;2.995.429.693;1.850.637.741;0;0;0;0;0;0;0;;0;241.01.00207421721700;;Gresik;5040101000
120401000009-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;120401000009;120401000009;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/2600263000;0;Urugan Tanah Dip;27/04/2022;01/01/1998;01/02/1998;0;0;4.573.763.000;0,00000000000;0;1.410.359.623;0;4.573.763.000;1.410.359.623;0;0;0;0;0;0;0;;0;241.01.00207722022000;;Gresik;5040101000
120401000010-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;;120401000010;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/301804575;0;Reklamasi Sumber Mas, 54.091,25 M2;01/03/2000;01/03/2000;01/04/2000;0;0;301.804.575;0,00000000000;0;301.804.575;0;301.804.575;301.804.575;0;0;0;0;0;0;0;;0;241.01.00208222522500;;Cabang Gresik;5040101000
120401000011-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;;120401000011;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/660598750;0;Reklamasi Nusantara Playwood, Luas 20.205 M2;01/04/2000;01/04/2000;01/05/2000;0;0;660.598.750;0,00000000000;0;660.598.750;0;660.598.750;660.598.750;0;0;0;0;0;0;0;;0;241.01.00208322622600;;Cabang Gresik;5040101000
120401000012-0;12211;TG TEMBAGA;1221102211;Pelayanan Kapal;Terminal Tanjung Tembaga;1041;12;2025;;120401000012;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/793932527;0;Tanah Daratan Luas 234.032 M2 HPL 1 Kel Mayangan;01/01/1920;01/01/1920;01/02/1920;0;0;533.412.234;0,00000000000;0;533.412.234;0;533.412.234;533.412.234;0;0;0;0;0;0;0;;0;241.01.0021691100;;Pelabuhan;5040101000
120401000013-0;12213;TANJUNG WANGI;1221305111;Terminal Tg Wangi;Terminal Tanjung Wangi;1051;12;2025;;120401000013;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/56066813;0;Tanah Luas 13.102 M2 (HPL No 3 Ketapang);31/12/1998;31/12/1998;31/01/1999;0;0;55.066.521;0,00000000000;0;55.066.521;0;55.066.521;55.066.521;0;0;0;0;0;0;0;;0;241.01.0023052200;;Pelb.Meneng(Perolehan Th 1991). Ketapang. Giri;5040101000
120401000014-0;12213;TANJUNG WANGI;1221305111;Terminal Tg Wangi;Terminal Tanjung Wangi;1051;12;2025;;120401000014;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/135295537;0;T A N A H / Pelb.Banyuwangi Luas 135.040 M2;31/12/1998;31/12/1998;31/01/1999;0;0;135.295.537;0,00000000000;0;135.295.537;0;135.295.537;135.295.537;0;0;0;0;0;0;0;;0;241.01.002343969600;;Jl. Nusantara. Karangrejo. Banyuwangi;5040101000
120401000015-0;12302;TANJUNG EMAS;1230204711;Umum dan Teknik;Terminal Tanjung Emas;1061;12;2025;120501000055;120401000015;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/2860740186;0;Tanah Luas 1.215.392 M2 (HPL No 1 Bandarharjo);31/12/1998;01/01/1920;01/02/1920;0;0;3.753.893.235;0,00000000000;0;3.753.893.235;0;3.753.893.235;3.753.893.235;0;0;0;0;0;0;0;;0;241.01.0027061353135300;;Tanah Lainnya. Bandarharjo. Semarang Utara;5040101000
120401000016-0;12302;TANJUNG EMAS;1230204711;Umum dan Teknik;Terminal Tanjung Emas;1061;12;2025;;120401000016;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/73311277;0;Tanah Luas 177.283 M2 (HPL No 2 Bandarharjo);31/12/1998;31/12/1998;31/01/1999;0;0;41.452.343;0,00000000000;0;41.452.343;0;41.452.343;41.452.343;0;0;0;0;0;0;0;;0;241.01.0027071354135400;;Cad.Industri/T.Matang;5040101000
120401000017-0;12302;TANJUNG EMAS;1230204711;Umum dan Teknik;Terminal Tanjung Emas;1061;12;2025;120501000254;120401000017;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/354333104;0;Tanah Luas 880.800 M2 (HPL No 1 Tambakrejo);21/03/2019;01/01/1985;01/02/1985;0;0;121.363.678;0,00000000000;0;121.363.678;0;121.363.678;121.363.678;0;0;0;0;0;0;0;;0;241.01.0027081355135500;;Cad.Industri/T.Tambak;5040101000
120401000018-0;12302;TANJUNG EMAS;1230204711;Umum dan Teknik;Terminal Tanjung Emas;1061;12;2025;;120401000018;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/154233632;0;Tanah D.Pelabuhan Luas 578.100 M2;31/12/1998;31/12/1998;31/01/1999;0;0;154.233.632;0,00000000000;0;154.233.632;0;154.233.632;154.233.632;0;0;0;0;0;0;0;;0;241.01.0027091356135600;;T. Cad. Industri (T.Tambak). Panggung Lor;5040101000
120401000019-0;12302;TANJUNG EMAS;1230204711;Umum dan Teknik;Terminal Tanjung Emas;1061;12;2025;;120401000019;0;1204010000;120401;PI - Tanah;Tanah Belum Sertifikat, dll;Aset Tetap Pemilikan Langsung;B/126156272;0;Tanah D.Pelabuhan (luas 544.272 M2);31/12/1998;31/12/1998;31/01/1999;0;0;126.156.272;0,00000000000;0;126.156.272;0;126.156.272;126.156.272;0;0;0;0;0;0;0;;0;241.01.0027101357135700;NON HPL (HGB);Cad.Industri (Ditempati Peddk);5040101000
120401000020-0;12302;TANJUNG EMAS;1230204711;Umum dan Teknik;Terminal Tanjung Emas;1061;12;2025;;120401000020;0;1204010000;120401;PI - Tanah;Tanah Daratan;Aset Tetap Pemilikan Langsung;B/3624213;0;Tanah D.Pelabuhan (luas 299.167 M2);31/12/1998;31/12/1998;31/01/1999;0;0;3.624.213;0,00000000000;0;3.624.213;0;3.624.213;3.624.213;0;0;0;0;0;0;0;;0;241.01.0027111358135800;NON HPL (HGB);Tnh Yg Dikuasai Penddk;5040101000
120401000021-0;12402;BENOA;1240203211;Rupa-rupa Usaha;Terminal Benoa;1091;12;2025;120401000053;120401000021;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/5044272425;0;Tanah Luas 36.346 M2 HPL 24-NIB 22090000.00021;26/10/2017;31/12/2002;31/01/2003;0;0;7.174.792.251;0,00000000000;0;7.174.792.251;0;7.174.792.251;7.174.792.251;0;0;0;0;0;0;0;;0;NO.4/HPL/KEM-ATR/BPN/I/'21 (241.01.00354524224200);;Reklas Aset Properti Investasi ke Tanah seluas 33.784 M2 (ProsesSertipikat peta bidang No.852/2015) berdasarkanBA.2185/KU.0301/HOFC-2018 tanggal 28 Desember 2018 tentang Tindak LanjutPencocokan Aset Tanah & Properti Investasi antara Sub DirektoratAkuntans;5040101000
120401000022-0;12402;BENOA;1240203211;Rupa-rupa Usaha;Terminal Benoa;1091;12;2025;120501000067;120401000022;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/4426229000;0;Tanah Luas 116.301 M2  HPL 22-NIB 22090000.00024;01/01/1998;30/09/2004;30/10/2004;0;0;21.851.994.040;0,00000000000;0;21.851.994.040;0;21.851.994.040;21.851.994.040;0;0;0;0;0;0;0;;0;NO.3/HPL/KEM-ATR/BPN/I/'21 (241.01.00355961861800);;Tanah Reklamasi seluas 121.700 M2, Proses Sertipikat 1 peta bidang No.3/2014 tanggal 15 Mei 2017 (Jl.Pelabuhan Benoa, Pedungan, DenpasarSelatan)Total luas 121.700 M2 dengan rincian penggunaan sbb:- 5.399 M2 digunakan sendiri- 32.800 M2 disewakan pihak ket;5040101000
120401000023-0;12405;LEMBAR;1240502511;Properti;Terminal Lembar;1111;12;2025;;120401000023;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/36748205;0;Tanah Luas 137.042 M2 (HPL No 1);01/01/1962;01/01/1962;01/02/1962;0;0;32.146.855;0,00000000000;0;32.146.855;0;32.146.855;32.146.855;0;0;0;0;0;0;0;;0;241.01.0037931100;;Jembatan Kembar. Gerung. Lombok Barat. Lembar;5040101000
120401000024-0;12405;LEMBAR;1240502511;Properti;Terminal Lembar;1111;12;2025;;120401000024;0;1204010000;120401;PI - Tanah;Tanah Daratan;Aset Tetap Pemilikan Langsung;B/1;0;Tanah Bukit utk Tower BTS Indosat (SKB no : 139 Th;02/01/2012;02/01/2012;02/02/2012;0;0;1;0,00000000000;0;1;0;1;1;0;0;0;0;0;0;0;;0;241.01.00390016716700;;Tanah Bukit didalam DLKR.;5040101000
120401000025-0;12405;LEMBAR;1240503211;Rupa-rupa Usaha;Terminal Lembar;1111;12;2025;;120401000025;0;1204010000;120401;PI - Tanah;Bangunan Lain Permanen;Prop Investasi Pemilikan lgsg;B/81887150;0;Galeri ATM;26/04/2016;26/04/2016;26/05/2016;240;125;84.084.560;2,00000000000;1.681.691;84.084.560;0;55.518.230;50.767.947;-395.857;-4.750.283;-28.566.330;-4.750.283;-28.566.330;0;0;;-33.316.613;242.99.008111107591075900;;Pelabuhan Lembar;5040101000
120401000026-0;12403;CELUKAN BAWANG;1240302511;Properti;Terminal Celukan Bawang;1101;12;2025;;120401000026;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/35767134;0;Tanah Daratan Luas 1.013 M2;01/01/1980;01/01/1980;01/02/1980;0;0;298.625;0,00000000000;0;298.625;0;298.625;298.625;0;0;0;0;0;0;0;;0;241.01.0036011100;;Celukan Bawang;5040101000
120401000027-0;12403;CELUKAN BAWANG;1240302511;Properti;Terminal Celukan Bawang;1101;12;2025;;120401000027;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/686430040;0;Tanah Ruislag Pelb Buleleng Luas 23.000 M2;01/06/1998;01/06/1998;01/07/1998;0;0;686.430.040;0,00000000000;0;686.430.040;0;686.430.040;686.430.040;0;0;0;0;0;0;0;;0;241.01.003656777700;;Celukan Bawang. Gerokgak. Buleleng;5040101000
120401000028-0;12403;CELUKAN BAWANG;1240303211;Rupa-rupa Usaha;Terminal Celukan Bawang;1101;12;2025;;120401000028;0;1204010000;120401;PI - Tanah;Bangunan Lain Permanen;Prop Investasi Pemilikan lgsg;B/2621055;0;Pembuatan Warung / Kios;31/08/2001;31/08/2001;30/09/2001;240;0;131.052.727;2,00000000000;2.621.055;131.052.727;0;2.621.055;2.621.055;0;0;-128.431.672;0;-128.431.672;0;0;;-128.431.672;242.99.003671919100;;Celukan Bawang;5040101000
120401000029-0;12305;TANJUNG INTAN;1230505111;Terminal Tg Intan;Terminal Tanjung Intan;1081;12;2025;;120401000029;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/200751477;0;Tanah Luas 62.512 M2 (HPL No 3 Tgl 23 Mei 1995);01/01/1917;01/01/1917;01/02/1917;0;0;180.160.761;0,00000000000;0;180.160.761;0;180.160.761;180.160.761;0;0;0;0;0;0;0;;0;241.01.00319545945900;;Hpl Pelabuhan/Disewa Penddk;5040101000
120401000030-0;12305;TANJUNG INTAN;1230505111;Terminal Tg Intan;Terminal Tanjung Intan;1081;12;2025;;120401000030;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/48459441;0;Tanah Luas 39.619 M2 (HPL No 2 Tgl 23 Mei 1995);01/01/1917;01/01/1917;01/02/1917;0;0;47.481.432;0,00000000000;0;47.481.432;0;47.481.432;47.481.432;0;0;0;0;0;0;0;;0;241.01.00319646046000;;Blm Hpl Pelab/Disewa Penddk;5040101000
120401000032-0;12409;KUPANG;1240902511;Properti;Terminal Kupang;1141;12;2025;;120401000032;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/42846282;0;Tanah Luas 109.175 M2 (HPL No 5 Kupang);31/12/1998;31/12/1998;31/01/1999;0;0;14.447.734;0,00000000000;0;14.447.734;0;14.447.734;14.447.734;0;0;0;0;0;0;0;;0;241.01.0040141100;;Desa Alok Kupang. Alak. Alak;5040101000
120401000033-0;12510;KUMAI;1251005111;Terminal Kumai;Terminal Kumai;1181;12;2025;;120401000033;0;1204010000;120401;PI - Tanah;Bangunan Gudang;Aset Tetap Pemilikan Langsung;B/8020174;0;Gudang;01/01/1979;01/01/1979;01/02/1979;600;37;32.300.000;2,00000000000;646.000;32.300.000;0;3.137.962;2.527.686;-50.856;-610.276;-29.162.038;-610.276;-29.162.038;0;0;;-29.772.314;242.99.005611666600;;Pangkalan Bun;5040101000
120401000034-0;12508;SAMPIT;1250805111;Terminal Sampit;Terminal Sampit;1171;12;2025;;120401000034;0;1204010000;120401;PI - Tanah;Gudang Penumpukan;Aset Tetap Pemilikan Langsung;B/17794275;0;Gudang Penumpukan;01/01/1983;01/01/1983;01/02/1983;600;85;54.400.000;2,00000000000;1.088.000;54.400.000;0;9.484.419;8.445.687;-86.561;-1.038.732;-44.915.581;-1.038.732;-44.915.581;0;0;;-45.954.313;242.99.005308767600;;Pegatan Mendawai;5040101000
120401000036-0;12411;WAINGAPU;1241102411;Properti;Terminal Waingapu;1143;12;2025;;120401000036;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/29252129;0;Tanah Luas 39.261 M2 (HPL No 1 Hambala);31/12/1998;31/12/1998;31/01/1999;0;0;14.355.848;0,00000000000;0;14.355.848;0;14.355.848;14.355.848;0;0;0;0;0;0;0;;0;241.01.004266494900;;Pelabuhan Nusantara. Hambala. Pandawai;5040101000
120401000037-0;12501;REGION KALIMANTAN;1250106211;Sub Divisi Fasilitas;Sub Regional Kalimantan;1160;12;2025;;120401000037;0;1204010000;120401;PI - Tanah;Bangunan Lain Permanen;Prop Investasi Pemilikan lgsg;B/2051485840;0;Kantor KP3 Banjarmasin;02/03/2015;02/03/2015;02/04/2015;240;111;2.143.383.403;2,00000000000;42.867.668;2.143.383.403;0;1.631.382.696;1.476.405.620;-12.914.756;-154.977.076;-512.000.707;-154.977.076;-512.000.707;0;0;;-666.977.783;242.01.007954106001060000;;Jl. Lumba-Lumba Pelabuhan Banjarmasin;5040101000
120401000038-0;12506;BATU LICIN;1250602511;Properti;Terminal Batulicin;1162;12;2025;;120401000038;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/987052346;0;Tanah Luas 403.332 M2 (HPL No 1 Kampung Baru);01/01/1986;01/01/1986;01/02/1986;0;0;605.076.065;0,00000000000;0;605.076.065;0;605.076.065;605.076.065;0;0;0;0;0;0;0;;0;241.01.004985575700;;Kampung Baru. Batulicin. Tanah Bumbu;5040101000
120401000039-0;12507;MEKAR PUTIH;1250705111;Terminal Mekar Putih;Terminal Mekar Putih;1163;12;2025;;120401000039;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/1268788694;0;Tanah Pelabuhan Mekarputih Luas 845.750 M2;31/12/1998;31/12/1998;31/01/1999;0;0;1.268.788.694;0,00000000000;0;1.268.788.694;0;1.268.788.694;1.268.788.694;0;0;0;0;0;0;0;;0;241.01.005004898900;;Mekar Putih. P. Laut Barat. Kotabaru;5040101000
120401000040-0;12509;BAGENDANG;1250905111;Terminal Bagendang;Terminal Bagendang;1174;12;2025;;120401000040;0;1204010000;120401;PI - Tanah;Gudang Penumpukan;Aset Tetap Pemilikan Langsung;B/4056377357;0;Gudang di Dermaga Multipurpose;31/12/2008;31/12/2008;31/01/2009;600;397;4.814.691.225;2,00000000000;96.293.825;4.814.691.225;0;3.302.075.733;3.207.788.030;-7.857.308;-94.287.703;-1.512.615.492;-94.287.703;-1.512.615.492;0;0;;-1.606.903.195;242.99.0054527169716900;;Cabang Banjarmasin;5040101000
120401000041-0;12505;KOTABARU;1250502511;Properti;Terminal Kotabaru;1161;12;2025;;120401000041;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/5062500;0;Tanah Pelabuhan Stagen;01/06/1997;01/06/1997;01/07/1997;0;0;5.062.500;0,00000000000;0;5.062.500;0;5.062.500;5.062.500;0;0;0;0;0;0;0;;0;241.01.00503212112100;;Stagen. P. Laut Utara. Kotabaru;5040101000
120401000042-0;12506;BATU LICIN;1250602511;Properti;Terminal Batulicin;1162;12;2025;;120401000042;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/274500;0;Tanah Pelabuhan Satui Luas 67.461 M2;01/06/1997;01/06/1997;01/07/1997;0;0;274.500;0,00000000000;0;274.500;0;274.500;274.500;0;0;0;0;0;0;0;;0;241.01.00503412312300;;Pelb Satui. Satui Barat. Satui;5040101000
120401000043-0;12506;BATU LICIN;1250602511;Properti;Terminal Batulicin;1162;12;2025;;120401000043;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/474916800;0;Tanah Luas 246.823 M2 (HPL No 9 Satui Barat);31/12/1999;31/12/1999;31/01/2000;0;0;394.916.800;0,00000000000;0;394.916.800;0;394.916.800;394.916.800;0;0;0;0;0;0;0;;0;241.01.00506615915900;;Pelabuhan Satui. Satui Barat. Satui;5040101000
120401000044-0;12506;BATU LICIN;1250602511;Properti;Terminal Batulicin;1162;12;2025;;120401000044;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/414000000;0;Tanah Batulicin;01/10/2000;01/10/2000;01/11/2000;0;0;414.000.000;0,00000000000;0;414.000.000;0;414.000.000;414.000.000;0;0;0;0;0;0;0;;0;241.01.00507717417400;;Kampung Baru. Batulicin. Tanah Bumbu;5040101000
120401000046-0;12509;BAGENDANG;1250905111;Terminal Bagendang;Terminal Bagendang;1174;12;2025;;120401000046;0;1204010000;120401;PI - Tanah;Gudang Penumpukan;Aset Tetap Pemilikan Langsung;B/7161854376;0;GUDANG PENUMPUKAN 02;15/02/2013;15/02/2013;15/03/2013;360;207;8.187.055.682;2,00000000000;163.741.114;8.187.055.682;0;5.022.303.824;4.754.860.005;-22.286.985;-267.443.819;-3.164.751.858;-267.443.819;-3.164.751.858;0;0;;-3.432.195.677;242.99.0069399592959200;;PELABUHAN BAGENDANG;5040101000
120401000047-0;12505;KOTABARU;1250502511;Properti;Terminal Kotabaru;1161;12;2025;;120401000047;0;1204010000;120401;PI - Tanah;Gudang Penumpukan;Prop Investasi Pemilikan lgsg;120502005194-0;0;Pembangunan Gudang 630 M2;30/09/2003;30/09/2003;30/10/2003;600;334;1.667.500.000;2,00000000000;33.350.000;1.667.500.000;0;506.877.246;490.406.733;-1.372.543;-16.470.513;-1.160.622.754;-16.470.513;-1.160.622.754;0;0;;-1.177.093.267;242.99.00512883083000;;Stagen Kotabaru;5040101000
120401000047-1;12505;KOTABARU;1250502511;Properti;Terminal Kotabaru;1161;12;2025;120401000048;120401000047;1;1204010000;120401;PI - Tanah;Gudang Penumpukan;Prop Investasi Pemilikan lgsg;120502005194-0;0;Pembangunan Gudang (addendum ) 630 M2;30/09/2003;30/09/2003;30/10/2003;600;334;0;2,00000000000;2.941.660;147.083.000;0;0;43.256.666;-121.066;-605.330;0;-605.330;-103.221.004;0;0;;-103.826.334;242.99.00512983183100;;;5040101000
120401000047-2;12505;KOTABARU;1250502311;Pelayanan Terminal;Terminal Kotabaru;1161;12;2025;120502005194;120401000047;2;1204010000;120401;PI - Tanah;Gudang Penumpukan;Prop Investasi Pemilikan lgsg;120502005194-0;0;Atap Gudang Lini I Stagen;31/12/2015;31/12/2015;01/01/2016;600;480;0;2,00000000000;7.835.675;391.783.770;0;0;38.413.921;-63.704;-318.523;0;-318.523;-353.051.326;0;0;;-353.369.849;211.07.00P07566P1045PP104500;;;5040101000
120401000049-0;12302;TANJUNG EMAS;1230204711;Umum dan Teknik;Terminal Tanjung Emas;1061;12;2025;;120401000049;0;1204010000;120401;PI - Tanah;Tanah Daratan;Aset Tetap Pemilikan Langsung;B;0;Tanah Bandarharjo (luas 98.225 M2);14/01/1982;14/01/1982;14/01/1982;0;0;1;0,00000000000;0;1;0;1;1;0;0;0;0;0;0;0;;0;241.01.008460111081110800;NON HPL (HGB);Bandarharjo;5040101000
120401000052-0;12402;BENOA;1240204411;Teknik;Terminal Benoa;1091;12;2025;120506000762;120401000052;0;1204010000;120401;PI - Tanah;Gedung Bukan Tinggi(?5 Lantai);Prop Investasi Pemilikan lgsg;B/1278348;0;Gedung Kantor Lama;01/01/1974;25/10/2017;01/02/1974;600;0;63.917.400;0,00000000000;1.278.348;63.917.400;0;1.278.348;1.278.348;0;0;-62.639.052;0;-62.639.052;0;0;;-62.639.052;TR.0101/237/BNA-2017 (222.02.003399141400);;;5040101000
120401000052-1;12402;BENOA;1240203211;Rupa-rupa Usaha;Terminal Benoa;1091;12;2025;120506000762;120401000052;1;1204010000;120401;PI - Tanah;Gedung Bukan Tinggi(?5 Lantai);Prop Investasi Pemilikan lgsg;B/1278348;0;Gedung Kantor Lama;01/01/1974;25/10/2017;01/02/1974;600;0;12.157.200;0,00000000000;0;12.157.200;0;0;0;0;0;-12.157.200;0;-12.157.200;0;0;;-12.157.200;TR.0101/237/BNA-2017 (222.02.003399141400);;;5040101000
120401000054-0;12402;BENOA;1240203211;Rupa-rupa Usaha;Terminal Benoa;1091;12;2025;120501000073;120401000054;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/1;0;Tanah Seluas 69.395 m2  HPL 25-NIB 22090000.00022;02/01/2012;26/10/2017;01/11/2017;0;0;2.279.257.616;0,00000000000;0;2.279.257.616;0;2.279.257.616;2.279.257.616;0;0;0;0;0;0;0;;0;NO.2/HPL/KEM-ATR/BPN/I/'21 (221.01.00359365365300);;;5040101000
120401000055-0;12402;BENOA;1240203211;Rupa-rupa Usaha;Terminal Benoa;1091;12;2025;120501000074;120401000055;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/1;0;Tanah Luas 59.026 M2 HPL 23-NIB 22090000.00023;02/01/2012;26/10/2017;01/11/2017;0;0;1.590.701.047;0,00000000000;0;1.590.701.047;0;1.590.701.047;1.590.701.047;0;0;0;0;0;0;0;;0;NO.5/HPL/KEM-ATR/BPN/I/'21 (221.01.00359465465400);;Reklas Aset Properti Investasi ke Tanah seluas 106.474 M2 (ProsesSertipikat 2 peta bidang No. 2/2014 tgl 15 Mei 2017 (Jl.Pelabuhan Benoa,Pedungan)) berdasarkan BA.2185/KU.0301/HOFC-2018 tanggal 28 Desember2018 tentang Tindak Lanjut Pencocokan Aset Tanah &;5040101000
