Nomor Asset Utama;Profit Center;Profit Center Text;Cost Center Baru;Deskripsi Cost Center Baru;Nama Cabang/Kawasan;Kode Plant;Periode/Bulan;Tahun Buku;Nomor Asset Asal;Nomor Asset;Sub-number;GL Account Aset;Asset Class;Asset Class Name;Deskripsi Kelompok Aset;Deskripsi Status Aset Tetap;Asset Main No. Text;Akuisisi;Keterangan Asset;Tgl Akusisi;Tgl Perolehan;Tgl Mulai Penyusutan;Masa Manfaat;Sisa Manfaat Aset;Nilai Perolehan Awal Tahun;Nilai Residu %;Nilai Residu Rp;Nilai Perolehan s.d Tahun Berjalan;Adjusment Nilai Perolehan;Nilai Buku Awal Tahun;Nilai Buku s.d Tahun Berjalan;Penyusutan/Bulan;Penyusutan s.d Bulan Berjalan;Penyusutan Tahun Lalu;Penyusutan/Tahun;Akumulasi Penyusutan Tahun Lalu;Adjusment Akm Penyusutan;Penghapusan;Asset Shutdown;Akumulasi Penyusutan;Additional Description;Serial number;Alamat;GL Account Exp. Depre.
120502004518-1;12213;TANJUNG WANGI;1221305111;Terminal Tg Wangi;Terminal Tanjung Wangi;1051;12;2025;125121000971;120502004518;1;1205010200;120502;Bangunan Fasipel;Dermaga Konstruksi Beton;Aset Tetap Pemilikan Langsung;120502004508-0;0;Perkuatan dan Peningkatan Dermaga Beton III;17/12/2024;26/10/2024;26/11/2024;600;587;5.059.659.267;2,00000000000;101.193.185;5.059.659.267;0;5.042.793.736;4.943.631.183;-8.263.546;-99.162.553;-16.865.531;-99.162.553;-16.865.531;0;0;;-116.028.084;PO 7200000024 / NWA 510004410;;;5040201010
120502004518-2;12213;TANJUNG WANGI;1221305111;Terminal Tg Wangi;Terminal Tanjung Wangi;1051;12;2025;125121000971;120502004518;2;1205010200;120502;Bangunan Fasipel;Trestle (Konstruksi beton);Aset Tetap Pemilikan Langsung;120502004508-0;0;Perbaikan Trestle Dermaga III;17/12/2024;26/10/2024;26/11/2024;600;587;1.080.373.092;2,00000000000;21.607.462;1.080.373.092;0;1.076.843.873;1.055.668.560;-1.764.610;-21.175.313;-3.529.219;-21.175.313;-3.529.219;0;0;;-24.704.532;PO 7200000024 / NWA 510004410;;;5040201010
120502004519-0;12213;TANJUNG WANGI;1221305111;Terminal Tg Wangi;Terminal Tanjung Wangi;1051;12;2025;;120502004519;0;1205010200;120502;Bangunan Fasipel;Lap. Penum. Fleksibel (Paving);Aset Tetap Pemilikan Langsung;A/125024791;0;Lapangan Penumpukan ex. Perkantoran;10/09/2012;10/09/2012;01/10/2012;360;201;199.439.665;0,00000000000;1.000.000;199.439.665;0;1.000.000;1.000.000;0;0;-198.439.665;0;-198.439.665;0;0;;-198.439.665;211.08.0068249477947700;;Tg. Wangi;5040201010
120502004520-0;12213;TANJUNG WANGI;1221305111;Terminal Tg Wangi;Terminal Tanjung Wangi;1051;12;2025;;120502004520;0;1205010200;120502;Bangunan Fasipel;Lap. Penum. Fleksibel (Paving);Aset Tetap Pemilikan Langsung;A/400251183;0;Lapangan Penumpukan Lini I (Samping Musholla Tando;04/08/2014;04/08/2014;01/09/2014;360;224;489.879.000;0,00000000000;1.000.000;489.879.000;0;1.000.000;1.000.000;0;0;-488.879.000;0;-488.879.000;0;0;;-488.879.000;211.08.0072959941994100;;Tg Wangi;5040201010
120502004521-0;12210;KALIANGET;1221002111;Pelayanan Kapal;Terminal Kalianget;1032;12;2025;;120502004521;0;1205010200;120502;Bangunan Fasipel;Talud/Dinding Penahan Tanah;Aset Tetap Pemilikan Langsung;A/10160694;0;Penahan Gelombang;01/01/1981;01/01/1981;01/04/1980;600;51;28.440.076;0,00000000000;1.000.000;28.440.076;0;3.881.208;3.332.406;-45.734;-548.802;-24.558.868;-548.802;-24.558.868;0;0;;-25.107.670;211.02.0024636600;;Dinas Jasa;5040201010
120502004521-1;12210;KALIANGET;1221002111;Pelayanan Kapal;Terminal Kalianget;1032;12;2025;;120502004521;1;1205010200;120502;Bangunan Fasipel;Talud/Dinding Penahan Tanah;Aset Tetap Pemilikan Langsung;A/10160694;0;Penahan Gelombang;01/01/1981;01/01/1981;01/12/1974;600;0;4.518.703;0,00000000000;1.000.000;4.518.703;0;1.000.000;1.000.000;0;0;-3.518.703;0;-3.518.703;0;0;;-3.518.703;211.02.0024647700;;Dinas Jasa;5040201010
120502004522-0;12210;KALIANGET;1221002111;Pelayanan Kapal;Terminal Kalianget;1032;12;2025;;120502004522;0;1205010200;120502;Bangunan Fasipel;Dermaga Konstruksi Beton;Aset Tetap Pemilikan Langsung;B;0;Pembangunan Dermaga Dan Trestel Dip;01/04/1991;01/04/1991;01/01/1991;600;180;1.035.594.900;0,00000000000;20.711.898;1.035.594.900;0;345.474.459;325.176.799;-1.691.472;-20.297.660;-690.120.441;-20.297.660;-690.120.441;0;0;;-710.418.101;211.03.002478323200;;Kalianget;5040201010
120502004522-1;12210;KALIANGET;1221002111;Pelayanan Kapal;Terminal Kalianget;1032;12;2025;120502000385;120502004522;1;1205010200;120502;Bangunan Fasipel;Dermaga Konstruksi Beton;Aset Tetap Pemilikan Langsung;B;0;Perkuatan Dermaga Kalianget;31/12/2018;30/06/2016;12/10/2018;600;514;1.422.316.000;2,00000000000;28.446.320;1.422.316.000;0;1.248.082.288;1.220.204.894;-2.323.117;-27.877.394;-174.233.712;-27.877.394;-174.233.712;0;0;;-202.111.106;BA.011/TR.0101/PCU.KLA/IX-2018,P2.300.1/HK.0502/18;;;5040201010
120502004522-2;12210;KALIANGET;1221002211;Pelayanan Terminal;Terminal Kalianget;1032;12;2025;120502000385;120502004522;2;1205010200;120502;Bangunan Fasipel;Dermaga Konstruksi Beton;Aset Tetap Pemilikan Langsung;B;0;Perpnj. Dermaga Umum Pel.Kalianget (27x15 M);15/05/2023;30/04/2021;07/10/2020;600;538;4.475.319.047;2,00000000000;89.506.381;4.475.319.047;0;4.122.690.893;4.034.533.854;-7.346.420;-88.157.039;-352.628.154;-88.157.039;-352.628.154;0;0;;-440.785.193;"BA.3074/TT.05.01/RJTM-2020; PO.4500000233";;;5040201010
120502004523-0;12210;KALIANGET;1221002111;Pelayanan Kapal;Terminal Kalianget;1032;12;2025;;120502004523;0;1205010200;120502;Bangunan Fasipel;Lap. Penum. Fleksibel (Paving);Aset Tetap Pemilikan Langsung;A/1;0;Peninggian Lap Penumpukan;01/08/1997;01/08/1997;01/07/2006;360;126;19.498.000;0,00000000000;1;19.498.000;0;1;1;0;0;-19.497.999;0;-19.497.999;0;0;;-19.497.999;211.08.002493535300;;Kalianget;5040201010
